long_rollout_rmse,long_vs_short_ratio,model_rollout_seconds,one_step_mae,one_step_relative_rmse,one_step_rmse,rollout_mae,rollout_relative_rmse,rollout_rmse,rollout_steps,short_rollout_rmse,solver_seconds
0.08033572137355804,0.6077835687455491,0.2880379119887948,0.0011745716910809278,0.11007437109947205,0.008768142201006413,0.020080864429473877,1.0110561847686768,0.08033572137355804,199.0,0.1321781724691391,0.027757166884839535
0.07714823633432388,0.599358136169597,0.2866491721943021,0.0011231520911678672,0.10559465736150742,0.008097697980701923,0.019298681989312172,1.008542537689209,0.07714823633432388,199.0,0.12871809303760529,0.02828333294019103
0.0721958801150322,0.5875229704680482,0.2800214528106153,0.0011124694719910622,0.10902708023786545,0.007829182781279087,0.017989683896303177,1.0079017877578735,0.0721958801150322,199.0,0.12288179993629456,0.018866137135773897
0.07586955279111862,0.591768240664591,0.28777405386790633,0.0011270444374531507,0.10708659142255783,0.00808735005557537,0.018677925691008568,1.007127046585083,0.07586955279111862,199.0,0.1282082200050354,0.02766843605786562
0.07839851081371307,0.599257345899445,0.28975195717066526,0.0011096815578639507,0.11785735934972763,0.009182020090520382,0.019344482570886612,1.0088212490081787,0.07839851081371307,199.0,0.13082611560821533,0.02791761513799429
0.07718312740325928,0.5980654475134893,0.2878173040226102,0.001102696405723691,0.10545257478952408,0.008094201795756817,0.019141795113682747,1.0080763101577759,0.07718312740325928,199.0,0.12905465066432953,0.027498132083564997
0.08386145532131195,0.6499476897992972,0.283250252250582,0.0011552582727745175,0.10644672065973282,0.008853432722389698,0.020615167915821075,1.0108134746551514,0.08386145532131195,199.0,0.12902800738811493,0.01862348197028041
0.08325653523206711,0.6514238748053949,0.28208984388038516,0.0011486540315672755,0.10016592592000961,0.008272773586213589,0.020470362156629562,1.0105904340744019,0.08325653523206711,199.0,0.12780700623989105,0.019238559994846582
0.0862472653388977,0.6507332497312388,0.30011028330773115,0.0011664930498227477,0.09856600314378738,0.008435656316578388,0.021207869052886963,1.010279655456543,0.0862472653388977,199.0,0.1325385868549347,0.0286198272369802
0.08082790672779083,0.6052313991510667,0.28804794419556856,0.0012002800358459353,0.10406310111284256,0.008336098864674568,0.020229343324899673,1.0115405321121216,0.08082790672779083,199.0,0.133548766374588,0.028909641783684492
0.08811556547880173,0.6432362859100847,0.28775857109576464,0.001230419147759676,0.10552915930747986,0.009221935644745827,0.02160162851214409,1.0108602046966553,0.08811556547880173,199.0,0.1369878649711609,0.028377884067595005
0.07463900744915009,0.5792203638274386,0.2892215419560671,0.001108120777644217,0.1146845743060112,0.00851987861096859,0.01835433393716812,1.0072224140167236,0.07463900744915009,199.0,0.12886115908622742,0.027771899942308664
0.0743456557393074,0.580411076367832,0.28726757084950805,0.0011041908292099833,0.10813472419977188,0.008002237416803837,0.018288103863596916,1.0071570873260498,0.0743456557393074,199.0,0.12809138000011444,0.026848339941352606
0.08267079293727875,0.6433658305221545,0.2873587738722563,0.0011221456807106733,0.09655620902776718,0.007955874316394329,0.02006656862795353,1.0058480501174927,0.08267079293727875,199.0,0.12849733233451843,0.029414954129606485
0.08025672286748886,0.6072988676890589,0.2863487210124731,0.0011497699888423085,0.10999045521020889,0.008754374459385872,0.019916832447052002,1.0108790397644043,0.08025672286748886,199.0,0.13215358555316925,0.028665461111813784
0.080086350440979,0.607442541652082,0.28760927310213447,0.0011490585748106241,0.10668881237506866,0.008472802117466927,0.01994004100561142,1.010970115661621,0.080086350440979,199.0,0.13184185326099396,0.028719928115606308
0.07419012486934662,0.5992554825518881,0.28062424901872873,0.0010857005836442113,0.10466241836547852,0.007717417553067207,0.018585633486509323,1.008678674697876,0.07419012486934662,199.0,0.12380383163690567,0.01918399380519986
0.07826072722673416,0.5995224927587981,0.2861479902639985,0.0011073083151131868,0.11669647693634033,0.009079202078282833,0.01928645372390747,1.0084209442138672,0.07826072722673416,199.0,0.1305384337902069,0.02884221589192748
0.07221881300210953,0.5865663317934904,0.28120931377634406,0.0010920666391029954,0.11178149282932281,0.008032115176320076,0.017786163836717606,1.0075769424438477,0.07221881300210953,199.0,0.12312130630016327,0.01816147891804576
0.07903942465782166,0.6025022447960771,0.2794726751744747,0.0011971148196607828,0.11429128050804138,0.008945181034505367,0.01959797367453575,1.0124082565307617,0.07903942465782166,199.0,0.13118527829647064,0.018322135787457228
0.07650497555732727,0.6028952620550588,0.280445306096226,0.001172617543488741,0.10451796650886536,0.007918133400380611,0.0191876869648695,1.0123850107192993,0.07650497555732727,199.0,0.1268959641456604,0.01913822302594781
0.08310367166996002,0.6508660953073627,0.2798874150030315,0.0011126784374937415,0.09948702901601791,0.00820110272616148,0.020274696871638298,1.0106539726257324,0.08310367166996002,199.0,0.1276816725730896,0.019195908214896917
0.08623398095369339,0.6501196197780653,0.285912892781198,0.0011297407327219844,0.10043375939130783,0.008592629805207253,0.02096758782863617,1.0104622840881348,0.08623398095369339,199.0,0.13264325261116028,0.026542626321315765
0.08402843773365021,0.6449575691904641,0.27914952021092176,0.0011617997661232948,0.0998450294137001,0.0083184614777565,0.02056834287941456,1.0111085176467896,0.08402843773365021,199.0,0.13028521835803986,0.018985601142048836
0.08650978654623032,0.6465194685589274,0.28402999695390463,0.001178546342998743,0.09566926211118698,0.00820882897824049,0.021195577457547188,1.0107518434524536,0.08650978654623032,199.0,0.13380847871303558,0.028742671012878418
0.07899263501167297,0.6096748787690173,0.2839146121405065,0.001069685909897089,0.11656659096479416,0.00916172657161951,0.018988346680998802,1.0075609683990479,0.07899263501167297,199.0,0.12956517934799194,0.026931575033813715
0.07374537736177444,0.5989695455512037,0.27985825622454286,0.0010471164714545012,0.10493197292089462,0.00769206415861845,0.018207253888249397,1.0085272789001465,0.07374537736177444,199.0,0.12312041223049164,0.0188396661542356
0.07407903671264648,0.5989372074090071,0.2814566260203719,0.0010498702758923173,0.1043240875005722,0.00768063822761178,0.018322128802537918,1.0087196826934814,0.07407903671264648,199.0,0.12368414551019669,0.019207854755222797
0.07282912731170654,0.5853995076036371,0.27984058298170567,0.0010555455228313804,0.1179424449801445,0.008544579148292542,0.01772141270339489,1.0077955722808838,0.07282912731170654,199.0,0.1244092732667923,0.018492364790290594
0.0752825140953064,0.585233412856864,0.2858658852055669,0.0010686038294807076,0.11309957504272461,0.008474979549646378,0.01825757697224617,1.0071735382080078,0.0752825140953064,199.0,0.12863673269748688,0.02812344115227461
0.07792183011770248,0.6015418603554326,0.280042361933738,0.0011485542636364698,0.10756272077560425,0.008300866931676865,0.019205749034881592,1.0122445821762085,0.07792183011770248,199.0,0.12953683733940125,0.019371770322322845
0.07831820845603943,0.6014988701538068,0.27849539974704385,0.0011523835128173232,0.10998895764350891,0.008531640283763409,0.019273407757282257,1.0122021436691284,0.07831820845603943,199.0,0.13020507991313934,0.018969364929944277
0.01586778089404106,2.265389143499576,0.28330562682822347,0.0010098159546032548,0.1411876082420349,0.0017952900379896164,0.011747843585908413,1.2509685754776,0.01586778089404106,199.0,0.007004439365118742,0.02847940707579255
0.015856513753533363,2.2657514038845994,0.28594034304842353,0.0010131680173799396,0.1412024348974228,0.0017949140165001154,0.011769489385187626,1.2504748106002808,0.015856513753533363,199.0,0.0069983466528356075,0.028598577715456486
0.01591530442237854,2.2329476346158907,0.27930937288329005,0.0009747124859131873,0.13887260854244232,0.0017853686586022377,0.011650016531348228,1.2410027980804443,0.01591530442237854,199.0,0.007127486634999514,0.01917667966336012
0.015864988788962364,2.259878951510957,0.28648912301287055,0.0009775442304089665,0.13931071758270264,0.0017888451693579555,0.011612096801400185,1.2385679483413696,0.015864988788962364,199.0,0.007020282559096813,0.026768858078867197
0.0158819779753685,2.2695373971768036,0.2855185931548476,0.0009770832257345319,0.13960202038288116,0.0017890287563204765,0.011620924808084965,1.242358922958374,0.0158819779753685,199.0,0.006997892167419195,0.027209891006350517
0.01609037071466446,2.307470827233623,0.27981489012017846,0.0010014502331614494,0.13770078122615814,0.0017925911815837026,0.01183955930173397,1.2390562295913696,0.01609037071466446,199.0,0.006973163224756718,0.01833883998915553
0.015975456684827805,2.2834361478780276,0.28045566100627184,0.0010006153024733067,0.13924704492092133,0.0017920989776030183,0.01179143413901329,1.2443604469299316,0.015975456684827805,199.0,0.006996235344558954,0.018713691737502813
0.01606789417564869,2.2832795944434823,0.2834516023285687,0.0010006552329286933,0.1373698115348816,0.0017897498328238726,0.011844845488667488,1.2363102436065674,0.01606789417564869,199.0,0.007037199568003416,0.02784341061487794
0.016222795471549034,2.323074598445273,0.2793699908070266,0.0010136181954294443,0.13684116303920746,0.0017944438150152564,0.011967290192842484,1.2401710748672485,0.016222795471549034,199.0,0.00698332954198122,0.01918446272611618
0.01577075570821762,2.224253485551111,0.28108475636690855,0.000980266835540533,0.14112123847007751,0.0017883011605590582,0.011589450761675835,1.2475944757461548,0.01577075570821762,199.0,0.00709035899490118,0.018937075976282358
0.015530840493738651,2.2030072774311913,0.28766771499067545,0.0009677410125732422,0.14393064379692078,0.0017868379363790154,0.011337373405694962,1.2540935277938843,0.015530840493738651,199.0,0.007049836218357086,0.02821547305211425
0.015954023227095604,2.3162637718499717,0.2812067177146673,0.0010046646930277348,0.13970722258090973,0.00178995740134269,0.011815181002020836,1.248287320137024,0.015954023227095604,199.0,0.006887826602905989,0.01904176129028201
0.015178905799984932,2.1335144181711434,0.28708740416914225,0.000978505820967257,0.14890128374099731,0.001787642133422196,0.010884520597755909,1.267432689666748,0.015178905799984932,199.0,0.00711450818926096,0.026725645177066326
0.015989070758223534,2.2712276870125034,0.2806257661432028,0.0009981459006667137,0.138512521982193,0.0017911435570567846,0.011784141883254051,1.2395130395889282,0.015989070758223534,199.0,0.0070398361422121525,0.01866806810721755
0.015656840056180954,2.233451816404602,0.2839703541249037,0.0009778277017176151,0.14241693913936615,0.0017870725132524967,0.011501524597406387,1.2508106231689453,0.015656840056180954,199.0,0.007010153494775295,0.027565152384340763
