baseline_rmse_mean,compute_norm,compute_units,deferred_frac,family,hybrid_rmse_mean,n_fno,n_full_defers,param,policy,wall_s_forward
0.082272493865134,1.0,35820.0,0.6222222222222222,long_rollout,0.010005144117813971,13532,112,-7.7228135672482585,hybrid_global,19.763659290969372
0.082272493865134,1.0,35820.0,0.5388888888888889,long_rollout,0.014919496312116583,16517,97,-7.409627715024081,hybrid_global,23.969891507178545
0.082272493865134,1.0,35820.0,0.46111111111111114,long_rollout,0.021211203751671646,19303,83,-6.531557696515864,hybrid_global,27.52327133854851
0.082272493865134,1.0,35820.0,0.37777777777777777,long_rollout,0.029186623610763088,22288,68,-6.18757305578752,hybrid_global,31.792849857360125
0.082272493865134,1.0,35820.0,0.29444444444444445,long_rollout,0.037555334742905365,25273,53,-5.849182313138789,hybrid_global,35.812163727357984
0.082272493865134,1.0,35820.0,0.21666666666666667,long_rollout,0.046922842107920186,28059,39,5.741426342183893,hybrid_global,39.67616651393473
0.082272493865134,1.0,35820.0,0.13333333333333333,long_rollout,0.05992136600220369,31044,24,6.5966978701678185,hybrid_global,43.94708229554817
0.082272493865134,1.0,35820.0,0.05,long_rollout,0.07367014589512513,34029,9,7.636231470108032,hybrid_global,48.06842258898541
0.082272493865134,2.4909332580689365,89225.2293040293,0.9605498259087369,long_rollout,nan,35820,0,0.05,hybrid_local,95.66219737706706
0.082272493865134,2.453319190580497,87877.89340659342,0.9349515679169577,long_rollout,nan,35820,0,0.15,hybrid_local,96.20317432004958
0.082272493865134,2.4230151265075888,86792.40183150183,0.914514294165534,long_rollout,nan,35820,0,0.25,hybrid_local,96.70962592959404
0.082272493865134,2.3693937330118238,84871.68351648352,0.8800918350483092,long_rollout,nan,35820,0,0.35,hybrid_local,97.20500579662621
0.082272493865134,2.2099953777843226,79162.03443223443,0.7763070056014176,long_rollout,nan,35820,0,0.44999999999999996,hybrid_local,97.64667643653229
0.082272493865134,1.4039363790871329,50289.0010989011,0.25069346259776504,long_rollout,nan,35820,0,0.5499999999999999,hybrid_local,97.15078324778005
0.082272493865134,1.0,35820.0,0.0,long_rollout,0.082272493865134,35820,0,0.65,hybrid_local,98.12893066275865
0.082272493865134,1.0,35820.0,0.0,long_rollout,0.082272493865134,35820,0,0.75,hybrid_local,96.09565904876217
0.082272493865134,1.0,35820.0,0.0,long_rollout,0.082272493865134,35820,0,0.85,hybrid_local,96.54285391559824
0.082272493865134,1.0,35820.0,0.0,long_rollout,0.082272493865134,35820,0,0.95,hybrid_local,96.62231840891764
