coverage,family,selective_risk,selector_type
0.8999999761581421,geometry_shift,0.05620862543582916,global_learned
0.8999999761581421,geometry_shift,0.05602054297924042,global_oracle
0.5,geometry_shift,0.0027580999303609133,local_learned
0.5,geometry_shift,0.0013469539117068052,local_oracle
0.5,geometry_shift,0.0013790499651804566,local_hybrid_learned
0.5,geometry_shift,0.0006734770140610635,local_hybrid_oracle
0.6000000238418579,geometry_shift,0.0028006001375615597,local_learned
0.6000000238418579,geometry_shift,0.0015397355891764164,local_oracle
0.6000000238418579,geometry_shift,0.001680360292084515,local_hybrid_learned
0.6000000238418579,geometry_shift,0.0009238413185812533,local_hybrid_oracle
0.699999988079071,geometry_shift,0.002752910600975156,local_learned
0.699999988079071,geometry_shift,0.0017882735701277852,local_oracle
0.699999988079071,geometry_shift,0.0019270374905318022,local_hybrid_learned
0.699999988079071,geometry_shift,0.0012517916038632393,local_hybrid_oracle
0.75,geometry_shift,0.0027029006741940975,local_learned
0.75,geometry_shift,0.0019123977981507778,local_oracle
0.75,geometry_shift,0.002027175622060895,local_hybrid_learned
0.75,geometry_shift,0.001434298581443727,local_hybrid_oracle
0.800000011920929,geometry_shift,0.0026550751645118,local_learned
0.800000011920929,geometry_shift,0.002036347519606352,local_oracle
0.800000011920929,geometry_shift,0.0021240604110062122,local_hybrid_learned
0.800000011920929,geometry_shift,0.001629078178666532,local_hybrid_oracle
0.8999999761581421,geometry_shift,0.0025682789273560047,local_learned
0.8999999761581421,geometry_shift,0.002291258657351136,local_oracle
0.8999999761581421,geometry_shift,0.0023114511277526617,local_hybrid_learned
0.8999999761581421,geometry_shift,0.002062132814899087,local_hybrid_oracle
0.5,long_rollout,0.028118114918470383,global_learned
0.5,long_rollout,0.028118114918470383,global_oracle
0.6000000238418579,long_rollout,0.03601931035518646,global_learned
0.6000000238418579,long_rollout,0.03586148843169212,global_oracle
0.699999988079071,long_rollout,0.042265377938747406,global_learned
0.699999988079071,long_rollout,0.04219907522201538,global_oracle
0.75,long_rollout,0.04505639895796776,global_learned
0.75,long_rollout,0.04505639895796776,global_oracle
0.800000011920929,long_rollout,0.04948742687702179,global_learned
0.800000011920929,long_rollout,0.049335770308971405,global_oracle
0.8999999761581421,long_rollout,0.05767005309462547,global_learned
